活動分類（隊）,業務分類,業務内容（例）,業務単価（円/h）
タダスクわいわい盛り上げ隊,タダスク関連,新規メンバー対応,3000
タダスクわいわい盛り上げ隊,タダスク事務局関連,タダスク講義調整・取りまとめ,4000
タダスクわいわい盛り上げ隊,タダスク関連【1講座ごと】,講義運営・講師担当 / 受講生サポート / チャレンジ講師,5000
タダスクわいわい盛り上げ隊,タダスク関連打合せ【1講座ごと】,ゲスト講師との事前打合せ（8時だョ）,3000
タダスクわいわい盛り上げ隊,タダマニュ関連,eラーニング企画・開発・保守 / コンテンツ作成 / 利用事業所対応,3000
タダスクわいわい盛り上げ隊,タダサポ（個別支援）関連,タダサポ対応（原則1回1h・年間10回まで）,3000
タダスクわいわい盛り上げ隊,★ わいわい_法人内MTG,各隊・各PJのMTG / 新タダメンオンボーディングMTG,2500
出張タダスクで喜ばれ隊,フロント【開催日に包括算定】,フロント業務一式（ヒアリング・連絡調整・サイト作成・kintone入力・司会進行・移動費）,5000
出張タダスクで喜ばれ隊,フロントサポーター【開催日に包括算定】,フロントサポーター業務一式,3000
出張タダスクで喜ばれ隊,出張タダスク講師【開催日に包括算定】,講師業務一式（資料作成+研修登壇・上限2.5h）,5000
出張タダスクで喜ばれ隊,★ 出張タダスク_法人内MTG,各隊・各PJのMTG,2500
出張タダスクで喜ばれ隊,★ 出張タダスク_移動時間,出張タダスク業務にかかる移動時間,1500
出張タダスクで喜ばれ隊,★ 出張タダスク_自家用車使用,自家用車を使用した移動（30円/km）,30
みんなと仲良くし隊,イベント企画・運営関連,交流会企画・運営 / 展示会出展 / タダコミュ管理,3000
みんなと仲良くし隊,コミュニティ運営（タダコミュ関連）,タダコミュ日常運営・コンテンツ更新・メンバー対応,3000
みんなと仲良くし隊,社内イベント参加,1・3・6ヶ月タダメンオリエンテーション参加（1回参加分）,1500
みんなと仲良くし隊,★ みん仲_発送業務,オリエンテーション資料・グッズ発送,2000
みんなと仲良くし隊,★ みん仲_法人内MTG,各隊・各PJのMTG / 新タダメンオンボーディングMTG,2500
広報がんばり隊,タダカヨ広報関連,SNS・動画編集・YouTube / メルマガ / 営業活動,3000
広報がんばり隊,★ 広報_発送業務,広報物・チラシ・グッズの発送,2000
広報がんばり隊,★ 広報_法人内MTG,各隊・各PJのMTG,2500
それいけAI探検隊,★ AI探検_タダスク関連,AI探検隊によるタダスク講義運営・受講生サポート,3000
それいけAI探検隊,★ AI探検_タダスク関連【1講座ごと】,AI探検隊による講師担当・チャレンジ講師（1講座ごと）,5000
それいけAI探検隊,★ AI探検_出張タダスク講師【開催日に包括算定】,AI探検隊による出張タダスク講師業務一式（資料作成+研修登壇・上限2.5h）,5000
それいけAI探検隊,★ AI探検_法人内MTG,各隊・各PJのMTG,2500
それいけAI探検隊,★ AI探検_移動時間,AI探検隊業務にかかる移動時間,1500
それいけAI探検隊,★ AI探検_自家用車使用,自家用車を使用した移動（30円/km）,30
すごいシステムつくり隊,オペレーション業務,ルーティン保守 / 簡易更新 / タダスクLP作成（ドキュメント不要）,3500
すごいシステムつくり隊,テクニカル業務,設計・開発（ドキュメント必須）,5000
すごいシステムつくり隊,★ システム_法人内MTG,各隊・各PJのMTG,2500
みんなでスキルアップし隊,新講師（メンティー）,新講師としてスキルアップ隊サポートを受けて稼働（2回まで）,5000
みんなでスキルアップし隊,チャレンジ講師（メンティー）,チャレンジ講師としてスキルアップ隊サポートを受けて稼働（3回まで）,4000
みんなでスキルアップし隊,★ スキルアップ_新規メンバー対応,新規メンバー対応,3000
みんなでスキルアップし隊,★ スキルアップ_法人内MTG,各隊・各PJのMTG,2500
しっかり法人を経営し隊,タダカヨ経営戦略・業務管理,事業戦略 / 財務・経理・法務 / IT・システム運用 / 法人内教育,3500
しっかり法人を経営し隊,スペシャリスト業務,専門的な知見を持ったタダメン業務,7000
しっかり法人を経営し隊,社内タダスク,社内タダスク講師・資料作成,5000
しっかり法人を経営し隊,★ しっかり法人_発送業務,契約書・法人関連書類の送付,2000
しっかり法人を経営し隊,★ しっかり法人_法人内MTG,各隊・各PJのMTG / 新タダメンオンボーディングMTG,2500
スマート介護士を推進し隊,スポンサー対応（プロジェクトマネージャー業務）,プロジェクト全体の進捗管理 / メンバーへのディレクション / 社外担当者対応,4000
スマート介護士を推進し隊,スポンサー対応（一般業務）,展示会サポート / セミナー企画・登壇 / 記事監修・執筆 / 行政委託事業,3000
スマート介護士を推進し隊,★ スマ介_発送業務,スポンサー向け資料・販促物の発送,2000
スマート介護士を推進し隊,★ スマ介_法人内MTG,各隊・各PJのMTG,2500
ケアプランデータ連携システムを広め隊,令和8年度行政事業（共通）,ケアプランデータ連携 / 神奈川県介護ロボット事業,5000
ケアプランデータ連携システムを広め隊,令和8年度行政事業（PM・経産省各リーダー担当者以上）,エリアリーダー / リージョンマネージャー / ケアプー事業PM・リーダー,6000
ケアプランデータ連携システムを広め隊,令和8年度行政事業（ケアプー：半日稼働）※日給制,ケアプー現地支援：3時間以内の稼働（時間欄は1.0hを入力）,15000
ケアプランデータ連携システムを広め隊,令和8年度行政事業（ケアプー：全日稼働）※日給制,ケアプー現地支援：6時間以内の稼働（時間欄は1.0hを入力）,30000
ケアプランデータ連携システムを広め隊,待機時間,行政事業代表番号の受け答え / FAQ回答 / 問い合わせ連携,2000
ケアプランデータ連携システムを広め隊,1件対応,待機時間1hのうち1件対応,1000
ケアプランデータ連携システムを広め隊,2件対応,待機時間1hのうち2件対応,2000
ケアプランデータ連携システムを広め隊,3件対応 or 合計30分以上対応,待機時間1hのうち3件以上 or 1件30分以上,3000
ケアプランデータ連携システムを広め隊,★ ケアプー_法人内MTG,各隊・各PJのMTG,5000
ケアプランデータ連携システムを広め隊,★ ケアプー_移動時間,ケアプランデータ連携業務にかかる移動時間,1500
ケアプランデータ連携システムを広め隊,★ ケアプー_自家用車使用,自家用車を使用した移動（30円/km）,30
個人情報をしっかり守り隊,★ 個人情報_業務管理,個人情報保護・コンプライアンス管理・法務対応,3500
個人情報をしっかり守り隊,★ 個人情報_スペシャリスト業務,専門的な知見を持った個人情報・法務業務,7000
個人情報をしっかり守り隊,★ 個人情報_法人内MTG,各隊・各PJのMTG,2500
一人ひとりを大切にし隊,★ 一人ひとり_メンバーサポート,タダメンの個別サポート・相談対応,3000
一人ひとりを大切にし隊,★ 一人ひとり_法人内MTG,各隊・各PJのMTG,2500
介護DXで包括の未来を応援し隊,★ 介護DX_新規メンバー対応,新規メンバー対応,3000
介護DXで包括の未来を応援し隊,★ 介護DX_スポンサー対応（PM業務）,介護DX事業のプロジェクト全体の進捗管理 / メンバーへのディレクション / 社外担当者対応,4000
